store_id,store_manager_name,store_sales
S001,Ava Patel,1879989
S002,Liam Kim,2258457
S003,Mia Garcia,2518618
S004,Noah Nguyen,3842134
S005,Emma Johnson,3176279
S006,Ethan Singh,2629851
S007,Olivia Chen,2489800
S008,Lucas Martinez,1653936
S009,Sophia Brown,2460399
S010,Mason Taylor,2218404
S011,Isabella Williams,3196190
S012,Logan Rodriguez,2632642
S013,Amelia Lee,2625185
S014,Elijah Hernandez,3278952
S015,Harper Lopez,2062946
S016,James Gonzalez,4501858
S017,Evelyn Wilson,1984312
S018,Benjamin Anderson,1651416
S019,Ella Thomas,2864051
S020,Henry Moore,2302707
S021,Grace Jackson,2061438
S022,Michael Martin,2130544
S023,Chloe Thompson,1835924
S024,Daniel White,1723120
S025,Aria Harris,1744708
S026,Matthew Clark,1718199
S027,Layla Lewis,3107644
S028,Jackson Robinson,2576413
S029,Nora Walker,2295308
S030,Sebastian Perez,4635738
S031,Riley Hall,2402228
S032,David Young,1458622
S033,Zoey Allen,3530267
S034,Joseph Sanchez,2513668
S035,Lily Wright,2481456
S036,Samuel King,3424019
S037,Hannah Scott,2595066
S038,Carter Green,1886501
S039,Leah Baker,2388608
S040,Owen Adams,2194145
