store_id,store_manager_name,store_sales,store_floor_area
S001,Ava Patel,1879989,4400
S002,Liam Kim,2258457,4800
S003,Mia Garcia,2518618,6600
S004,Noah Nguyen,3842134,5100
S005,Emma Johnson,3176279,5100
S006,Ethan Singh,2629851,6700
S007,Olivia Chen,2489800,5500
S008,Lucas Martinez,1653936,3700
S009,Sophia Brown,2460399,4300
S010,Mason Taylor,2218404,4600
S011,Isabella Williams,3196190,6200
S012,Logan Rodriguez,2632642,5400
S013,Amelia Lee,2625185,5400
S014,Elijah Hernandez,3278952,5100
S015,Harper Lopez,2062946,4400
S016,James Gonzalez,4501858,6800
S017,Evelyn Wilson,1984312,5500
S018,Benjamin Anderson,1651416,3000
S019,Ella Thomas,2864051,5700
S020,Henry Moore,2302707,4500
S021,Grace Jackson,2061438,3900
S022,Michael Martin,2130544,4800
S023,Chloe Thompson,1835924,4000
S024,Daniel White,1723120,4300
S025,Aria Harris,1744708,4400
S026,Matthew Clark,1718199,3300
S027,Layla Lewis,3107644,5800
S028,Jackson Robinson,2576413,5200
S029,Nora Walker,2295308,3900
S030,Sebastian Perez,4635738,6300
S031,Riley Hall,2402228,5400
S032,David Young,1458622,4700
S033,Zoey Allen,3530267,5900
S034,Joseph Sanchez,2513668,5900
S035,Lily Wright,2481456,5800
S036,Samuel King,3424019,5700
S037,Hannah Scott,2595066,5600
S038,Carter Green,1886501,4900
S039,Leah Baker,2388608,4700
S040,Owen Adams,2194145,4600
